,location,stdt,eddt,damagearea
518,경기광주,2018-04-21,2018-04-21,0.01
519,경기시흥,2018-04-21,2018-04-21,1.0
520,경기안양,2018-04-29,2018-04-29,0.15
521,경기양평,2021-02-12,2021-02-12,0.06
522,경기파주,2021-02-12,2021-02-12,0.02
523,경기남양주,2021-01-01,2021-01-01,0.03
524,경기광주,2021-01-01,2021-01-01,0.07
525,경기파주,2021-01-02,2021-01-02,0.03
526,경기고양,2021-01-02,2021-01-02,0.01
527,경기포천,2021-01-03,2021-01-03,0.03
528,경기의정부,2021-01-05,2021-01-05,0.05
529,경기양평,2021-01-06,2021-01-06,0.01
530,경기김포,2021-01-06,2021-01-06,0.02
531,경기파주,2021-11-04,2021-11-04,0.03
532,경기화성,2021-11-05,2021-11-05,0.03
533,경기안양,2021-11-06,2021-11-06,0.03
534,경기평택,2021-11-07,2021-11-07,0.1
535,경기고양,2021-12-04,2021-12-04,0.03
536,경기양평,2018-06-01,2018-06-01,0.03
537,경기화성,2018-06-09,2018-06-09,0.08
538,경기안산,2018-07-29,2018-07-29,0.06
539,경기군포,2018-07-30,2018-07-30,0.01
540,경기포천,2021-02-12,2021-02-12,0.02
541,경기용인,2021-02-12,2021-02-12,0.02
542,경기양평,2021-02-12,2021-02-12,0.06
543,경기파주,2021-02-12,2021-02-12,0.02
544,경기여주,2021-02-14,2021-02-14,0.06
545,경기용인,2021-02-15,2021-02-15,0.08
546,경기의정부,2021-02-23,2021-02-23,0.01
547,경기포천,2021-02-23,2021-02-23,0.03
548,경기광주,2021-02-23,2021-02-23,0.66
549,경기안산,2018-08-02,2018-08-02,0.01
550,경기양평,2018-08-07,2018-08-07,0.02
551,경기군포,2018-08-12,2018-08-12,0.23
552,경기안양,2018-08-15,2018-08-16,0.3
553,경기안산,2018-08-16,2018-08-16,0.01
