damagearea,avg_temp,min_temp,max_temp,rainfall,max_wind_speed,avg_wind
0.0005918327086210297,5.1,-2.5,14.3,0.0,4.3,1.3
0.00019727756954034323,6.5,-2.3,15.9,0.0,4.1,1.0
0.0013809429867824026,4.9,-3.8,13.8,0.0,3.5,1.0
0.000986387847701716,6.5,-2.3,15.9,0.0,4.1,1.0
0.005721049516669954,4.9,-3.8,13.8,0.0,3.5,1.0
0.0003945551390806864,8.6,3.7,15.0,0.0,2.5,1.2
0.0029591635431051484,2.5,-3.3,9.4,0.2,10.8,3.3
0.0037482738212665213,1.4,-5.4,8.5,0.0,8.2,2.1
0.002761885973564805,2.5,-4.2,8.6,0.0,7.3,2.9
0.0013809429867824026,1.4,-5.4,8.5,0.0,8.2,2.1
0.0003945551390806864,3.4,-5.1,10.8,0.0,5.4,1.4
0.0,5.4,-0.7,12.8,0.0,4.9,1.6
0.0003945551390806864,5.9,-1.6,14.5,0.0,3.8,1.3
0.0003945551390806864,8.4,-0.3,17.6,0.0,3.7,1.1
0.019530479384493978,8.6,0.2,18.3,0.0,2.8,0.9
0.0003945551390806864,9.2,0.4,19.8,0.0,3.4,1.3
0.0,9.5,1.2,15.0,0.0,6.4,2.5
0.001775498125863089,9.2,5.2,15.4,0.0,4.7,2.1
0.002761885973564805,11.4,6.7,16.2,0.0,3.9,2.1
0.013020319589662654,10.9,6.7,15.9,0.0,4.3,2.4
0.005721049516669954,10.9,6.7,15.9,0.0,4.3,2.4
0.00019727756954034323,5.0,-2.8,14.6,0.0,1.9,0.6
0.001775498125863089,10.9,5.1,17.2,0.0,6.4,2.8
0.0037482738212665213,10.4,4.0,18.1,0.0,6.2,2.5
0.005721049516669954,9.4,2.3,16.7,0.0,5.3,2.4
0.005721049516669954,12.5,7.2,19.4,0.0,4.0,2.0
0.000986387847701716,10.5,1.6,17.7,0.0,4.5,1.7
0.019530479384493978,10.5,1.6,17.7,0.0,4.5,1.7
0.0,10.5,1.6,17.7,0.0,4.5,1.7
0.0029591635431051484,10.9,1.8,18.7,0.0,4.2,1.8
0.0007891102781613729,9.6,2.2,17.6,0.0,4.6,1.5
0.009666600907476819,10.1,1.1,19.5,0.0,4.7,1.5
0.0003945551390806864,9.6,2.2,17.6,0.0,4.6,1.5
0.0,10.5,1.7,18.6,0.0,3.1,1.2
0.0,9.6,2.2,17.6,0.0,4.6,1.5
0.009666600907476819,10.8,2.3,21.2,0.0,5.6,1.3
0.001775498125863089,11.8,1.7,21.0,0.0,2.6,0.9
0.000986387847701716,11.8,1.7,21.0,0.0,2.6,0.9
0.0007891102781613729,11.8,1.7,21.0,0.0,2.6,0.9
0.00019727756954034323,11.7,1.9,20.3,0.0,3.9,1.1
0.0007891102781613729,10.8,2.3,21.2,0.0,5.6,1.3
0.006312882225290984,13.5,5.0,20.9,1.4,3.6,1.1
0.00019727756954034323,13.5,5.0,20.9,1.4,3.6,1.1
0.0,7.5,4.4,12.8,0.0,6.1,3.2
0.0013809429867824026,7.5,4.4,12.8,0.0,6.1,3.2
0.0005918327086210297,6.2,-3.1,15.3,0.0,3.4,1.5
0.001775498125863089,7.4,-1.0,15.8,0.0,4.6,1.6
0.0003945551390806864,6.2,-3.1,15.3,0.0,3.4,1.5
0.005326494377589268,8.2,-0.8,15.7,0.0,3.0,1.1
0.010455711185638192,8.2,-0.8,15.7,0.0,3.0,1.1
0.019530479384493978,9.9,2.1,17.7,0.0,3.2,1.0
0.0007891102781613729,9.9,2.1,17.7,0.0,3.2,1.0
0.0003945551390806864,6.8,-2.4,16.1,0.0,3.6,1.1
0.07378181100808837,11.1,6.6,17.6,0.0,7.4,3.0
0.005721049516669954,12.3,5.6,20.0,0.0,5.4,2.1
0.019530479384493978,9.6,2.5,17.9,0.0,6.7,2.0
0.012823042020122312,9.6,2.5,17.9,0.0,6.7,2.0
0.0031564411126454917,11.8,4.9,20.4,0.0,5.9,2.1
0.03235352140461629,6.8,-2.1,15.9,0.0,5.1,1.7
0.008877490629315445,8.7,1.9,15.4,0.0,5.1,2.0
0.0,8.7,1.9,15.4,0.0,5.1,2.0
0.0019727756954034323,9.4,-0.1,18.3,0.0,3.9,1.4
0.0003945551390806864,9.5,0.0,18.6,0.0,4.7,1.9
0.000986387847701716,8.1,2.3,13.6,0.0,6.3,2.8
0.019530479384493978,8.9,4.6,13.7,0.0,7.7,3.5
0.12211481554547246,8.9,3.2,15.3,0.0,6.1,2.2
0.0007891102781613729,8.9,4.6,13.7,0.0,7.7,3.5
0.0015782205563227457,7.9,1.2,14.4,0.0,3.5,1.8
0.0037482738212665213,5.7,-3.8,15.3,0.0,5.3,1.5
0.0037482738212665213,6.7,2.0,11.8,0.0,5.3,2.6
0.05306766620635234,7.9,1.2,14.4,0.0,3.5,1.8
0.001775498125863089,5.7,-3.8,15.3,0.0,5.3,1.5
0.0,7.1,0.2,16.2,0.0,6.4,1.7
0.0003945551390806864,8.2,1.1,15.7,0.0,5.9,2.2
0.001775498125863089,9.0,-0.4,17.6,0.0,3.8,1.5
0.000986387847701716,8.2,1.1,15.7,0.0,5.9,2.2
0.0003945551390806864,8.9,1.3,17.9,0.0,5.3,1.6
0.002367330834484119,8.8,3.7,13.9,0.0,7.1,3.3
0.001775498125863089,8.5,0.5,16.0,0.0,6.4,2.3
0.009666600907476819,7.6,-1.4,14.6,0.0,5.2,2.3
0.012428486881041624,8.2,2.0,14.0,0.0,6.1,2.3
0.019530479384493978,8.9,0.3,16.0,0.0,3.9,1.5
0.013612152298283681,8.9,0.4,16.6,0.0,4.6,1.7
0.0,10.0,2.3,17.4,0.0,2.9,1.2
0.0015782205563227457,8.5,1.2,15.3,0.0,3.9,1.1
0.00019727756954034323,10.5,3.5,15.5,0.0,3.8,1.3
0.005721049516669954,10.5,3.5,15.5,0.0,3.8,1.3
0.0,9.5,3.9,16.6,0.0,3.7,1.7
0.000986387847701716,9.3,2.0,14.7,0.0,5.8,2.3
0.0003945551390806864,9.6,2.4,15.5,0.0,5.4,2.3
0.000986387847701716,9.3,2.0,14.7,0.0,5.8,2.3
0.000986387847701716,8.2,1.1,15.1,0.1,7.5,3.0
0.0007891102781613729,10.7,5.1,19.5,0.0,5.8,2.5
0.001775498125863089,11.1,4.4,19.4,0.0,5.8,2.0
0.0,10.7,5.1,19.5,0.0,5.8,2.5
0.05405405405405404,11.1,4.4,19.4,0.0,5.8,2.0
0.009666600907476819,11.9,1.6,21.8,0.0,3.4,1.4
