No,Column1,location,stdt,eddt,damagearea,경도,위도,상태
220,219,경기가평,2019-03-03,2019-03-03,0.1,127.4076594,37.8112458,인근좌표
221,220,경기양주,2019-03-03,2019-03-03,0.03,127.0141132,37.80569311,인근좌표
222,221,경기양주,2019-03-04,2019-03-04,0.06,127.0141132,37.80569311,인근좌표
223,222,경기과천,2019-03-04,2019-03-05,0.1,127.0038933,37.43419438,인근좌표
224,223,경기포천,2019-03-05,2019-03-05,1,127.237579,37.96766787,인근좌표
225,224,경기성남,2019-03-06,2019-03-06,0.01,127.1037334,37.43511843,인근좌표
226,225,경기화성,2019-03-06,2019-03-06,0.06,126.9162557,37.15266119,인근좌표
227,226,경기안산,2019-03-07,2019-03-07,0.03,126.8574791,37.32275536,인근좌표
228,227,경기연천,2019-03-07,2019-03-07,0.3,127.0268198,38.08507414,인근좌표
229,228,경기고양,2019-03-07,2019-03-07,0.01,126.8993676,37.66019018,인근좌표
230,229,경기양평,2019-03-07,2019-03-07,0.15,127.5810959,37.51899594,인근좌표
231,230,경기양평,2019-03-08,2019-03-08,0.03,127.5810959,37.51899594,인근좌표
232,231,경기가평,2019-03-08,2019-03-08,0.1,127.4076594,37.8112458,인근좌표
233,232,경기성남,2019-03-08,2019-03-08,0.1,127.1037334,37.43511843,인근좌표
234,233,경기안성,2019-03-08,2019-03-08,0.01,127.3059003,37.02476089,인근좌표
235,234,경기광주,2019-03-08,2019-03-09,0.04,127.2917767,37.4004581,인근좌표
236,235,경기군포,2019-03-09,2019-03-09,0.02,126.9207146,37.34179669,인근좌표
237,236,경기포천,2019-03-09,2019-03-09,0.08,127.237579,37.96766787,인근좌표
238,237,경기평택,2019-03-09,2019-03-09,0.06,127.0037131,37.02303199,인근좌표
239,238,경기포천,2019-03-09,2019-03-09,0.3,127.237579,37.96766787,인근좌표
240,239,경기이천,2019-03-10,2019-03-10,0.03,127.4520008,37.20146617,인근좌표
241,240,경기포천,2019-03-13,2019-03-13,0.16,127.237579,37.96766787,인근좌표
242,241,경기고양,2019-03-13,2019-03-13,0.2,126.8993676,37.66019018,인근좌표
243,242,경기양평,2019-03-13,2019-03-13,0.15,127.5810959,37.51899594,인근좌표
244,243,경기파주,2019-03-13,2019-03-13,0.08,126.8077119,37.84944357,인근좌표
245,244,경기남양주,2019-03-14,2019-03-14,0.03,127.2580035,37.64296989,인근좌표
246,245,경기안산,2019-03-17,2019-03-17,0.01,126.8574791,37.32275536,인근좌표
247,246,경기평택,2019-03-18,2019-03-18,0.03,127.0037131,37.02303199,인근좌표
248,247,경기연천,2019-03-19,2019-03-19,0.03,127.0268198,38.08507414,인근좌표
249,248,경기가평,2019-03-19,2019-03-19,1,127.4076594,37.8112458,인근좌표
250,249,경기안성,2019-03-19,2019-03-19,0.03,127.3059003,37.02476089,인근좌표
251,250,경기구리,2019-03-24,2019-03-24,0.05,129.4206627,35.70495594,인근좌표
252,251,경기고양,2019-03-27,2019-03-27,0.01,126.8993676,37.66019018,인근좌표
253,252,경기시흥,2019-03-28,2019-03-28,0.1,126.8335661,37.39397721,인근좌표
254,253,경기양평,2019-03-28,2019-03-28,0.15,127.5810959,37.51899594,인근좌표
255,254,경기광주,2019-03-29,2019-03-29,0.67,127.2917767,37.4004581,인근좌표
256,255,경기남양주,2019-03-29,2019-03-29,0.3,127.2580035,37.64296989,인근좌표
